iter	Passed	Remaining
722	9224	3534
723	9236	3521
724	9250	3508
725	9261	3495
726	9273	3482
727	9286	3469
728	9298	3456
729	9309	3443
730	9322	3430
731	9334	3417
732	9346	3404
733	9358	3391
734	9369	3378
735	9382	3365
736	9393	3352
737	9405	3339
738	9417	3325
739	9428	3312
740	9440	3299
741	9452	3286
742	9463	3273
743	9475	3260
744	9487	3247
745	9499	3234
746	9511	3221
747	9524	3208
748	9536	3195
749	9549	3183
750	9560	3169
751	9572	3156
752	9584	3143
753	9596	3130
754	9608	3117
755	9619	3104
756	9631	3091
757	9643	3078
758	9656	3066
759	9668	3053
760	9680	3040
761	9692	3027
762	9704	3014
763	9715	3001
764	9726	2988
765	9738	2974
766	9750	2962
767	9762	2949
768	9774	2936
769	9786	2923
770	9799	2910
771	9810	2897
772	9822	2884
773	9834	2871
774	9846	2858
775	9858	2845
776	9869	2832
777	9880	2819
778	9892	2806
779	9904	2793
780	9915	2780
781	9928	2767
782	9941	2755
783	9953	2742
784	9966	2729
785	9978	2716
786	9990	2704
787	10004	2691
788	10016	2678
789	10028	2665
790	10040	2652
791	10053	2640
792	10067	2627
793	10080	2615
794	10093	2602
795	10106	2590
796	10119	2577
797	10132	2564
798	10145	2552
799	10159	2539
800	10172	2527
801	10186	2514
802	10198	2502
803	10212	2489
804	10224	2476
805	10237	2463
806	10250	2451
807	10263	2438
808	10275	2426
809	10288	2413
810	10301	2400
811	10313	2387
812	10326	2375
813	10339	2362
814	10353	2350
815	10365	2337
816	10377	2324
817	10390	2311
818	10402	2298
819	10415	2286
820	10427	2273
821	10440	2260
822	10453	2248
823	10465	2235
824	10478	2222
825	10491	2210
826	10503	2197
827	10516	2184
828	10529	2172
829	10542	2159
830	10554	2146
831	10566	2133
832	10578	2120
833	10591	2108
834	10604	2095
835	10617	2082
836	10631	2070
837	10643	2057
838	10655	2044
839	10667	2031
840	10680	2019
841	10692	2006
842	10704	1993
843	10716	1980
844	10729	1968
845	10740	1955
846	10753	1942
847	10767	1929
848	10779	1917
849	10793	1904
850	10806	1892
851	10818	1879
852	10831	1866
853	10844	1854
854	10857	1841
855	10870	1828
856	10884	1816
857	10898	1803
858	10912	1791
859	10925	1778
860	10939	1765
861	10951	1753
862	10964	1740
863	10977	1727
864	10990	1715
865	11002	1702
866	11014	1689
867	11026	1676
868	11039	1664
869	11052	1651
870	11064	1638
871	11076	1625
872	11089	1613
873	11102	1600
874	11115	1587
875	11127	1575
876	11139	1562
877	11152	1549
878	11164	1536
879	11177	1524
880	11190	1511
881	11202	1498
882	11214	1485
883	11226	1473
884	11238	1460
885	11249	1447
886	11272	1436
887	11284	1423
888	11295	1410
889	11307	1397
890	11320	1384
891	11331	1372
892	11343	1359
893	11354	1346
894	11366	1333
895	11377	1320
896	11389	1307
897	11402	1295
898	11414	1282
899	11425	1269
900	11436	1256
901	11448	1243
902	11461	1231
903	11473	1218
904	11485	1205
905	11499	1193
906	11511	1180
907	11524	1167
908	11536	1154
909	11549	1142
910	11561	1129
911	11573	1116
912	11585	1104
